ITEM_ID,name,description,selling_price,actual_price,unit,catgory_id_id,shop_id_id,slug
53,Eastern Cottonwood,Ameliorated,1542.33,8834.98,1,1,220,53
54,fulton street market Athletes Foot,interface,3023.47,5934.51,1,1,207,54
55,Shagbark Hickory Pollen,middleware,9482.72,1690.02,1,1,259,55
56,Ready Foundation,moratorium,6836.25,2430.61,1,1,204,56
57,Bacitracin Zinc,Enhanced,6860.97,5626.4,1,1,271,57
58,EO HAND SANITIZER,non-volatile,2937.85,127.39,1,1,24,58
59,Royal Antibacterial Passion Plum Hand Cleanse,solution,87.63,1307.77,1,1,178,59
60,Valacyclovir Hydrochloride,bottom-line,8926.55,8052.22,1,1,272,60
61,Humco Glycerin and Artificial Rose Water,composite,9963.38,4693.21,1,1,73,61
62,Secura Total Body Foam Cleanser,bottom-line,9793.23,591.37,1,1,14,62
63,Trandolapril,implementation,460.46,4330.18,1,1,64,63
64,ARTISS,client-server,9633.93,3227.79,1,1,294,64
65,Lyrica,encoding,2292.38,2054.48,1,1,88,65
66,Sodium Bicarbonate,optimizing,256.1,7627.49,1,1,124,66
67,Maximum Strength,asynchronous,248.35,4888.53,1,1,141,67
68,Childrens Acetaminophen,database,2705.39,3342.59,1,1,257,68
69,Mannitol,bi-directional,1414.11,6425.83,1,1,232,69
70,SEPIA OFFICINALIS,Switchable,7543.72,9604.42,1,1,237,70
71,EltaMD UV PhysicalSPF 41,flexibility,5746.25,262.36,1,1,29,71
72,miconazole 1,5th generation,6432.18,4921.21,1,1,89,72
73,Zap APF,toolset,9297.53,1013.81,1,1,174,73
74,Top Care,Cross-platform,9680.78,3112.9,1,1,20,74
75,Antibacterial Hand,eco-centric,5719.08,7607.51,1,1,240,75
76,MEDI-PATCH,functionalities,1609.21,2060.45,1,1,200,76
77,Invirase,4th generation,4036.84,4754.91,1,1,240,77
78,Cortizone 10 Cooling Cream Anti-Itch,extranet,609.76,9763.07,1,1,180,78
79,Carbamazepine,Stand-alone,6926.41,6614.88,1,1,24,79
80,Neutrogena Healthy Defense SPF50,Open-source,1986.77,4786.45,1,1,204,80
81,"Pollens - Trees, Gum, Sweet Liquidambar styraciflua",structure,1524.95,7581.25,1,1,255,81
82,Green Guard Maximum Non-Aspirin,Down-sized,2555.25,2159.05,1,1,216,82
83,DOUBLE WEAR,Organized,1506.22,8273.4,1,1,284,83
84,Quinapril,success,7292.49,962.97,1,1,191,84
85,Phenobarbital,hybrid,7816.63,1369.4,1,1,12,85
86,Alcohol Prep Pad,Customer-focused,2781.8,4560.23,1,1,22,86
87,Ampicillin and Sulbactam,implementation,552.9,581.3,1,1,161,87
88,Caladryl,archive,6240.37,8221.35,1,1,227,88
89,No7 Lift and Luminate Foundation Sunscreen Broad Spectrum SPF 15 Hazelnut,Triple-buffered,4231.09,5640.49,1,1,142,89
90,Coralite Antibacterial,Open-architected,9983.62,2253.84,1,1,285,90
91,Eucalyptus,homogeneous,7297.19,5995.11,1,1,48,91
92,Fentanyl,Cross-group,8372.1,255.1,1,1,117,92
93,COSOPT,transitional,9862.58,7646.19,1,1,86,93
94,antacid,5th generation,3247.26,9422.92,1,1,295,94
95,Klonopin,system-worthy,399.98,8908.29,1,1,61,95
96,Risperidone,responsive,2130.66,5679.59,1,1,226,96
97,ETODOLAC,Open-source,3775.89,8493.74,1,1,26,97
98,OXYGEN,homogeneous,1427.04,6290.32,1,1,195,98
99,METRONIDAZOLE,forecast,4325.2,5250.7,1,1,134,99
100,Ofloxacin ophthalmic,incremental,9929.19,8844.46,1,1,31,100
101,Piperacillin and Tazobactam,dedicated,8245.11,7079.49,1,1,92,101
102,Sterile Water,interface,6406.25,9547.13,1,1,237,102
103,Allopurinol,hardware,3994.02,6869.49,1,1,253,103
104,ATORVASTATIN CALCIUM,encryption,5801.86,7646.65,1,1,295,104
105,PrismaSol,radical,4560.36,8211.24,1,1,84,105
106,Heparin Sodium,Visionary,5177.73,870.52,1,1,209,106
107,Citalopram Hydrobromide,toolset,6685.04,9776.66,1,1,75,107
108,Glyburide,Streamlined,2229.38,8356.05,1,1,192,108
109,SUNMARK ANTI DIARRHEAL,Organic,9947.83,1819.02,1,1,138,109
110,Kali bichromicum,24 hour,6059.19,5691.76,1,1,169,110
111,Hand Sanitizer,Extended,3786.17,7533.9,1,1,253,111
112,HYDROMORPHONE HYDROCHLORIDE,discrete,4479.53,6692.36,1,1,120,112
113,Zolpidem Tartrate,Face to face,3364.03,3343.06,1,1,153,113
114,Brintellix,Persevering,8947.04,2783.36,1,1,191,114
115,Quinapril,bifurcated,1352.55,7586.72,1,1,195,115
116,healthy accents aspirin,implementation,4512.49,957.18,1,1,142,116
117,Dr. Cocoa,archive,8367.04,5337.49,1,1,39,117
118,Healing Waters Sweet Pea Antibacterial Hand Soap,ability,1493.04,247.88,1,1,44,118
119,TS (Talmostop) Hair Tonic,multi-tasking,6642.44,1979.71,1,1,211,119
120,Heparin Sodium,data-warehouse,1843.26,5531.99,1,1,11,120
121,Health Smart Aloe Vera Petroleum,Assimilated,7752.81,4227.34,1,1,214,121
122,LIPODOX,bi-directional,9486.55,1933.78,1,1,227,122
123,Black Birch,Graphic Interface,3422.19,3079.34,1,1,239,123
124,Atenolol,executive,1896.7,9772.57,1,1,176,124
125,Intense Care Snail,Focused,3331.89,7706.13,1,1,135,125
126,lice kit,Face to face,5251.07,7375.61,1,1,250,126
127,Citalopram Hydrobromide,cohesive,5300.39,926.95,1,1,67,127
128,NARS ALL DAY LUMINOUS FOUNDATION,Persevering,3202.96,5571.31,1,1,289,128
129,BIO-RYTUSS,synergy,4275.12,7949.17,1,1,87,129
130,Mary Kay Tinted Moisturizer Sunscreen SPF 20 Bronze 2 (Drug Facts),Triple-buffered,8920.98,512.66,1,1,234,130
131,Thyro Tonic,Pre-emptive,2421.46,7992.69,1,1,271,131
132,DEXAMETHASONE SODIUM PHOSPHATE,next generation,92.95,3613.54,1,1,141,132
133,sleep aid,Operative,4695.04,5381.74,1,1,206,133
134,Sochlor,productivity,6992.16,376.04,1,1,153,134
135,AURUM STIBIUM HYOSCYAMUS,Cross-platform,6737.32,1710.73,1,1,55,135
136,CareOne Triacting Night Time Cold and Cough,Persistent,7328.5,8667.54,1,1,169,136
137,Avon Elements,Up-sized,8010.16,9985.41,1,1,293,137
138,BIOTENE,dynamic,2614,4217.8,1,1,169,138
139,GUNA-INF GAMMA,Right-sized,7729.11,2370.31,1,1,216,139
140,Atenolol and Chlorthalidone,encoding,7346.16,9160.85,1,1,263,140
141,HOUSEFLY FOR DIAGNOSTIC USE ONLY,methodical,2339.42,3545.39,1,1,22,141
142,Lyrica,secured line,5656.72,5820.24,1,1,55,142
143,Bryonia Alba,instruction set,1216.82,6668.57,1,1,262,143
144,Milrinone Lactate,multi-state,6202.17,2012.55,1,1,296,144
145,Avena Valeriana Nerve Relief,Devolved,4977.7,221.35,1,1,217,145
146,Toffee,Adaptive,2262.27,5482.46,1,1,123,146
147,Acyclovir,dynamic,3020.27,1599.77,1,1,264,147
148,Sunmark Camphor Spirit,5th generation,6110.01,6617.31,1,1,189,148
149,COLLAGEN HD PRIIMER BB,transitional,31.2,4200.74,1,1,118,149
150,Divalproex Sodium,De-engineered,2431.74,3534.38,1,1,265,150
151,PERFECTION LUMIERE VELVET,Organized,5418.13,1590.81,1,1,266,151
152,Nu Skin,Synergistic,2495.96,2133.42,1,1,58,152
153,Piroxicam,reciprocal,959.48,443.67,1,1,241,153
154,Wheat Bran,budgetary management,8419.11,4302.61,1,1,203,154
155,Etodolac,Business-focused,5550.89,7418.54,1,1,149,155
156,Isoniazid,neural-net,3275.65,5060.28,1,1,284,156
157,Cetirizine Hydrochloride,service-desk,4354.46,2771.26,1,1,79,157
158,Allergy Relief Multisymptom,secured line,8331.37,1833.38,1,1,45,158
159,LBEL divine lip gloss SPF 15,Self-enabling,6969.08,8274.37,1,1,203,159
160,Heparin Sodium,grid-enabled,3366.65,5647.42,1,1,277,160
161,Ropinirole,Optional,480.66,3955.69,1,1,60,161
162,Simply Right Nicotine,matrices,7020.5,1066.44,1,1,81,162
163,VIDAZA,archive,8772.34,7524.04,1,1,244,163
164,IASO FOR MEN WHITE EX SUPREME,6th generation,8331.71,6121.76,1,1,180,164
165,BSS,radical,7077.14,9197.46,1,1,59,165
166,Salex,Integrated,4676.91,174.41,1,1,138,166
167,Trifluoperazine Hydrochloride,implementation,8111.27,5645.94,1,1,176,167
168,Guinea Pig Epithelium,Profit-focused,4530.81,3721.65,1,1,250,168
169,CLEANWELL NATURAL ANTIBACTERIAL FOAMING LAVENDER,algorithm,2183.04,9736.44,1,1,85,169
170,Orphenadrine Citrate,dedicated,7239.52,1477.67,1,1,55,170
171,Givenchy Photo Perfexion Fluid Foundation Broad Spectrum SPF 20 Perfect Beige,dedicated,4751.45,1389.36,1,1,226,171
172,Warfarin Sodium,bifurcated,8735.12,510.04,1,1,296,172
173,Fentanyl Citrate,analyzer,5300.77,183.02,1,1,250,173
174,Senna,migration,3410.67,4107.81,1,1,265,174
175,Exhaustion Chronic Fatigue,Fundamental,7937.15,6155.47,1,1,217,175
176,biokera,foreground,1127.43,4294.19,1,1,97,176
177,Alprazolam,complexity,1868.63,5702.11,1,1,193,177
178,Antibacterial Hand Sanitizer,motivating,4816.78,9932.82,1,1,110,178
179,Covergirl Queen Collection All Day Flawless 3in1 Foundation,bottom-line,2183.54,5005.55,1,1,237,179
180,Risperidone,reciprocal,9688.45,3219.97,1,1,3,180
181,White Oak,service-desk,7743.76,7426.37,1,1,243,181
182,Alba Mineral Terr Tint SPF15 Bloom,composite,920.25,8604.58,1,1,117,182
183,Leucovorin Calcium,leading edge,415.17,9437.3,1,1,171,183
184,Injury/Trauma Complex,multi-tasking,3550.39,7044.82,1,1,256,184
185,Softsoap Instant Hand Sanitizer with moisturizers,synergy,1474.08,1355.73,1,1,145,185
186,Fenofibric Acid,bi-directional,7218.77,7330.83,1,1,292,186
187,Lisinopril,dedicated,5493.2,1109.28,1,1,185,187
188,Better Breath,moratorium,9431.91,1892.98,1,1,13,188
189,Strattera,Devolved,4510.69,933.77,1,1,285,189
190,Texas Knows Allegy Relief,toolset,3725.52,8673.78,1,1,292,190
191,Cattle Epithelia,Cross-group,2553.08,6232.99,1,1,80,191
192,Mycophenolic Acid,intranet,1787.38,1183.51,1,1,166,192
193,GABAPENTIN,Front-line,3369.88,6991.68,1,1,132,193
194,Zinc Cold Remedy,Intuitive,1814.43,9760.44,1,1,90,194
195,Nite Time Sleep Aid LiquidGels,attitude,8097,2456.51,1,1,56,195
196,WINGSCALE POLLEN,solution,1261.21,9970.93,1,1,237,196
197,Laura mercier Tinted Moisturizer SPF-20 Porcelain,dynamic,1737.33,6525.14,1,1,184,197
198,Insomnia,bi-directional,8182.92,8656.39,1,1,148,198
199,HAND SANITIZING,real-time,4961.86,938.91,1,1,275,199
200,NUJEVI ACNE,tertiary,5249.54,299.23,1,1,192,200
201,Leg Strong Trifusion,Proactive,3327.85,4438.01,1,1,189,201
202,Neomycin and Polymyxin B Sulfates and Dexamethasone,core,8551.82,7739.04,1,1,99,202
203,Apple Spice Antibacterial Foaming Hand Wash,logistical,93.55,9270.81,1,1,271,203
204,SkinCeuticals Blemish Plus Age Defense Acne Treatment,Implemented,1971.02,9663.73,1,1,154,204
205,Nerve Plus Composition,motivating,3188.09,6827.57,1,1,72,205
206,Oral Saline Laxative,clear-thinking,804.84,2417.23,1,1,170,206
207,Glyburide,Cloned,5569.88,6396.27,1,1,231,207
208,Indapamide,architecture,8142.48,3735.68,1,1,228,208
209,AMMONIA N-13,Right-sized,6565.72,2392.26,1,1,300,209
210,ProAmatine,transitional,7222.93,6781.31,1,1,196,210
211,Mirapharm-22,Cloned,7800.33,3044.37,1,1,264,211
212,Acetaminophen PM,solution,3560.29,6221.43,1,1,70,212
213,Tetracycline Hydrochloride,parallelism,1547.21,9611.22,1,1,48,213
214,PredniSONE,Synergistic,5246.16,7514.19,1,1,3,214
215,Bumetanide,24 hour,2004.4,5561.41,1,1,222,215
216,diltiazem hydrochloride,orchestration,8875.48,6062.58,1,1,284,216
217,PHOTO FINISH MORE THAN PRIMER BLEMISH CONTROL,toolset,7002.31,1621.91,1,1,91,217
218,Retin-A MICRO,Enterprise-wide,8531.17,9217.32,1,1,256,218
219,Relistor,Synchronised,3652.03,8763.39,1,1,111,219
220,TRAMADOL HYDROCHLORIDE,Team-oriented,9852.37,8068.83,1,1,259,220
221,good neighbor pharmacy night time,alliance,4056.38,5144.35,1,1,10,221
222,topiramate,architecture,6348.13,7377.04,1,1,18,222
223,CITALOPRAM,holistic,7011.71,7555.64,1,1,195,223
224,amlodipine besylate,budgetary management,170.76,4094.61,1,1,50,224
225,Salicylic Acid,tangible,2939.36,700.81,1,1,151,225
226,Levetiracetam,Business-focused,5579.07,894.87,1,1,71,226
227,Pioglitazone,reciprocal,6218.65,6792.22,1,1,287,227
228,Systane,Distributed,9901.79,533.68,1,1,226,228
229,First Aid Triple Antibiotic,Profit-focused,7867.6,2649.37,1,1,25,229
230,Dextrose Monohydrate,web-enabled,2649.82,5435.12,1,1,168,230
231,Mada Medical,bifurcated,4579.61,2766.97,1,1,131,231
232,Ketorolac Tromethamine,Enterprise-wide,1631.06,6131.43,1,1,16,232
233,Simvastatin,6th generation,2192.96,5306.65,1,1,289,233
234,Lobster,synergy,5991.94,482.17,1,1,252,234
235,Burkhart Neutral,secondary,5815.54,6142.79,1,1,49,235
236,Nabumetone,Monitored,810.36,1434.47,1,1,188,236
237,Arnica e rad. 20,Distributed,8144.16,3948.72,1,1,297,237
238,RESTORIL,customer loyalty,672.47,6466.68,1,1,229,238
239,Fluoxetine,Operative,3860.48,1498.29,1,1,111,239
240,Bac,fault-tolerant,5225.33,3921.69,1,1,190,240
241,Albuterol Sulfate,Operative,9927.44,1783.15,1,1,101,241
242,Sertraline Hydrochloride,Versatile,2909.11,1931.01,1,1,5,242
243,Ergocalciferol,Implemented,1957.8,4099.62,1,1,6,243
244,Rimmel BB Cream Matte 9-IN-1 Skin Perfecting Super Makeup,systematic,5291.51,9737.54,1,1,267,244
245,Simvastatin,encoding,2287.32,8255.59,1,1,206,245
246,Prednisolone,responsive,2309.12,7636.73,1,1,105,246
247,Hydralazine Hydrochloride,Synchronised,4688.44,1668.24,1,1,230,247
248,Treatment Set TS333001,Fundamental,5212.58,5426.7,1,1,119,248
249,Temazepam,productivity,2001.89,7441.46,1,1,223,249
250,PUR-WASH,bifurcated,7316.37,8302.14,1,1,226,250
251,Afrin,application,7001.83,4681.06,1,1,209,251
252,Advanced relief,architecture,2637.5,9116.14,1,1,47,252
253,Emoquette,fault-tolerant,8383.94,5830.51,1,1,121,253
254,healthy accents lansoprazole,Universal,8449.24,1373.69,1,1,12,254
255,Retin-A MICRO,Future-proofed,9478.24,7472.5,1,1,82,255
256,Metalogin,5th generation,4281.17,4365.05,1,1,9,256
257,Terazosin Hydrochloride,parallelism,9904.78,9130.73,1,1,75,257
258,Nitrostat,database,6994.51,8491.77,1,1,286,258
259,Metformin Hydrochloride,Business-focused,3800.34,7648.18,1,1,193,259
260,Health Mart infants pain and fever,bottom-line,3456.56,5750.01,1,1,293,260
261,Loma Lux Psoriasis,Managed,6957.23,253.16,1,1,268,261
262,Mirtazapine,parallelism,9310.44,3688.48,1,1,204,262
263,Eye Itch Relief,Object-based,1875.68,9286.08,1,1,222,263
264,Zicam Naturals Cough Suppressant,internet solution,5091.09,4675.54,1,1,277,264
265,good neighbor pharmacy pain relief,grid-enabled,5574.09,9072.92,1,1,225,265
266,N - TIME SINUS,Networked,417.63,7785.59,1,1,284,266
267,CLE DE PEAU BEAUTE CR COMPACT FOUNDATION,Optional,1303.92,697.62,1,1,121,267
268,Herpes Zoster Remedy,incremental,90.18,8612,1,1,118,268
269,Metformin Hydrochloride,systemic,5975.15,7658.68,1,1,11,269
270,Naproxen Sodium,Multi-lateral,6584.68,172.76,1,1,218,270
271,ARC Skin Protectant,zero tolerance,2106.82,8217.31,1,1,287,271
272,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate",encompassing,3960.69,1587.02,1,1,161,272
273,Dilacor,open system,3043.96,260.38,1,1,292,273
274,Divalproex Sodium,support,1209.13,1080.28,1,1,8,274
275,MISSHA M SWIRL BB SUN BALM,neural-net,1161.58,1273.28,1,1,29,275
276,DRAXIMAGE MAA,24 hour,7730.3,5532.58,1,1,277,276
277,SudoGest,toolset,4875.47,9192.81,1,1,233,277
278,SENSAI FLUID FINISH FF103,monitoring,5220.16,4448.1,1,1,149,278
279,Tussin CF,Diverse,4036.47,5021.5,1,1,60,279
280,H-E-B Skin Corrective Innovative Skin Perfector BB Broad Spectrum SPF15 Sunscreen Medium/Deep,info-mediaries,5179.8,8404.56,1,1,178,280
281,Cyclobenzaprine Hydrochloride,mobile,7321.7,2615.45,1,1,168,281
282,DermOtic,Triple-buffered,2934.51,92.19,1,1,207,282
283,PROAIR,fault-tolerant,3000.72,4626.33,1,1,12,283
284,Carisoprodol,secured line,7455.52,1196.98,1,1,28,284
285,Shopko Antibacterial Foaming Hand Sanitizer,Expanded,5325.72,3513.7,1,1,227,285
286,Niacin,service-desk,5783.3,5900.54,1,1,195,286
287,fluorodine ULTRA active Fluoride Anticavity,installation,7918.01,5252.43,1,1,92,287
288,"butalbital, acetaminophen and caffeine",Digitized,6368.18,7574.6,1,1,119,288
289,Medi First Plus Aspirin,migration,1621.94,2710.43,1,1,267,289
290,Oxygen,Horizontal,7407.68,8534.5,1,1,130,290
291,LINGERIE DE PEAU INVISIBLE SKIN-FUSION FOUNDATION WITH SUNSCREEN BROAD SPECTRUM SPF 20 12 ROSE CLAIR,modular,453.09,5001.35,1,1,201,291
292,Estradiol,Reduced,971.78,9974.93,1,1,3,292
293,Antiseptic Mouth Rinse,definition,4635.05,3683.54,1,1,15,293
294,ACETAMINOPHEN AND CODEINE,system engine,1681.8,1437.8,1,1,272,294
295,Cyproheptadine Hydrochloride,matrices,8820.38,3738.63,1,1,70,295
296,Western Water Hemp,extranet,4939.88,5980.53,1,1,148,296
297,Hemorrhoidal,synergy,6416.76,6887.72,1,1,290,297
298,Trauma Relief Gel,methodical,5480.1,6009.82,1,1,56,298
299,Aspergillus flavus,incremental,5828.39,8463.63,1,1,53,299
300,AHAVA ACTIVE DEADSEA MINERALS,dynamic,875.89,8477.19,1,1,290,300
301,Armageddon,Action|Romance|Sci-Fi|Thriller,91.8,119.88,1,2,206,301
302,Beastmaster 2: Through the Portal of Time,Action|Adventure|Fantasy|Sci-Fi,673.02,391.57,1,2,196,302
303,Arabesque,Adventure|Drama|Romance|Thriller,867.87,710.96,1,2,226,303
304,White Dog,Drama|Horror|Thriller,882.47,489.39,1,2,213,304
305,Bowfinger,Comedy,405.33,450.66,1,2,108,305
306,Romasanta: The Werewolf Hunt,Drama|Horror|Mystery,25.42,53.93,1,2,49,306
307,BFFs,Comedy,15.38,1.77,1,2,58,307
308,Appointment with Danger,Crime|Drama|Film-Noir,228.46,702.64,1,2,71,308
309,The Land Before Time IX: Journey to the Big Water,Adventure|Animation|Children,480.51,336.14,1,2,83,309
310,King Kong Escapes (Kingu Kongu no gyakushÃ»),Action|Adventure|Sci-Fi,974.78,29.79,1,2,279,310
311,Warriors of Heaven and Earth (Tian di ying xiong),Action|Adventure|Drama,408.89,494.14,1,2,136,311
312,Breakaway (Speedy Singhs),Comedy|Drama,113.24,263.27,1,2,275,312
313,American Strays,Action,295.72,717.02,1,2,136,313
314,Hang 'Em High,Crime|Drama|Western,641.37,488.37,1,2,197,314
315,Wait Until Dark,Drama|Thriller,50.69,544.29,1,2,190,315
316,Gloomy Sunday (Ein Lied von Liebe und Tod),Drama|Romance,809.18,466.48,1,2,141,316
317,Hunting Elephants,Comedy|Crime,555.92,753.79,1,2,145,317
318,"Angels' Share, The",Comedy|Drama,515.26,370.73,1,2,3,318
319,House Party 2,Comedy|Drama|Romance,666.95,231.05,1,2,54,319
320,My Gun is Quick,Mystery,655.28,331.86,1,2,105,320
321,Ben-Hur: A Tale of the Christ,Adventure|Drama,909,138.34,1,2,116,321
322,"Trouble with Girls, The",Comedy|Drama,564.13,309.35,1,2,89,322
323,Demonlover,Crime|Drama|Mystery|Thriller,995.92,439.45,1,2,34,323
324,Treeless Mountain,Drama,869.19,820.06,1,2,61,324
325,Quiet City,Drama,565.39,36.9,1,2,54,325
326,New York in the 50's,Documentary,89.05,843.88,1,2,75,326
327,Wend Kuuni (a.k.a. God's Gift),Drama,731.39,151.88,1,2,6,327
328,"Entity, The",Horror,642.81,108.33,1,2,50,328
329,After Porn Ends,Documentary,102.84,127.46,1,2,281,329
330,"Ugly, Dirty and Bad (Brutti sporchi e cattivi)",Comedy|Drama,654.88,302.82,1,2,195,330
331,Little Children,Drama|Romance,388.97,519.59,1,2,229,331
332,Magic Trip,Documentary,759.29,956.68,1,2,224,332
333,Monica Z,Drama,582.07,943.39,1,2,51,333
334,RFK Must Die: The Assassination of Bobby Kennedy,Documentary,427.22,151.23,1,2,104,334
335,Aelita: The Queen of Mars (Aelita),Action|Adventure|Drama|Fantasy|Romance|Sci-Fi|Thriller,582.47,155.15,1,2,171,335
336,Alive Day Memories: Home from Iraq (Occupation Iraq),Documentary,352.41,678.9,1,2,161,336
337,Half Past Dead,Action|Crime|Thriller,763.34,227.94,1,2,190,337
338,"7th Voyage of Sinbad, The",Action|Adventure|Fantasy,123.55,343.84,1,2,48,338
339,Proof of Life,Drama,444.75,886.83,1,2,137,339
340,Journey of Hope (Reise der Hoffnung),Drama,161.12,974.4,1,2,10,340
341,Death Sentence,Drama|Thriller,871.91,984.84,1,2,53,341
342,Broadway Melody of 1936,Musical|Romance,929.22,203.54,1,2,17,342
343,Cherry Crush,Drama|Thriller,942.35,83.46,1,2,237,343
344,Scanners II: The New Order,Action|Horror|Sci-Fi,2.03,54.42,1,2,216,344
345,Into the White (Cross of Honour),Action|Drama|War,83.47,944.88,1,2,94,345
346,India: Matri Bhumi,Documentary|Drama,611.61,404.88,1,2,130,346
347,Bullitt,Action|Crime|Drama|Thriller,788.4,412.15,1,2,168,347
348,Four Sons,Drama|War,813.45,311.11,1,2,293,348
349,"Study in Choreography for Camera, A",(no genres listed),919.05,105.39,1,2,236,349
350,"House on 92nd Street, The",Drama|Film-Noir,866.7,122.14,1,2,16,350
351,"Henry IV, Part II (Second Part of King Henry the Fourth, including his death and the coronation of King Henry the Fifth, The)",Drama,119.1,747.39,1,2,149,351
352,"Majestic, The",Comedy|Drama|Romance,16.03,559.82,1,2,42,352
353,Malaya,Adventure|Drama,599.41,171.24,1,2,119,353
354,"Lifeguard, The",Comedy|Drama,727.95,150.82,1,2,213,354
355,"First Texan, The",Western,917.52,672.91,1,2,202,355
356,Private,Drama|War,227.32,741.85,1,2,234,356
357,"Killing of John Lennon, The",Drama,48.6,29.6,1,2,204,357
358,"Solitude of Prime Numbers, The",Drama,995.9,545.7,1,2,184,358
359,Under the Bridges (Unter den BrÃ¼cken),Comedy|Drama|Romance,250.56,481.97,1,2,159,359
360,"Best and the Brightest, The",Comedy,89.36,561.74,1,2,90,360
361,Sex Positive,Documentary,384.99,368.17,1,2,56,361
362,"Possession of Joel Delaney, The",Drama|Horror|Thriller,648.6,922.91,1,2,240,362
363,"'burbs, The",Comedy,232.02,145.16,1,2,250,363
364,Death Hunt,Action|Adventure|Crime|Thriller,966.06,414.14,1,2,200,364
365,Helter Skelter,Action|Crime|Drama|Horror,665.78,38.97,1,2,246,365
366,Maidentrip,Documentary,95.47,355.74,1,2,139,366
367,"RÃ©gion centrale, La",Drama,849.14,157.03,1,2,89,367
368,American Sniper,Action|War,759.95,971.03,1,2,113,368
369,Street People,Action|Thriller,67.06,641.62,1,2,44,369
370,Before the Devil Knows You're Dead,Crime|Drama|Thriller,38.52,42.94,1,2,267,370
371,He Ran All the Way,Crime|Drama|Film-Noir,646,603.82,1,2,129,371
